eid,sdg_id,title,keywords,abstract,title_keywords_abstract
84895022699,13,"GIS-based risk assessment for the Nile Delta coastal zone under different sea level rise scenarios case study: Kafr EL Sheikh Governorate, Egypt",GIS Inundation Sea level rise,"Sea level changes are caused by several natural phenomena, including mainly ocean thermal expansion, glacial melt from Greenland and Antarctica. It was estimated, in this respect, that global average sea level rose, during the 20th Century, by at least 10 cm. This trend is expected to continue and most likely accelerated during the 21st Century due to human-induced global warming. Global average sea level is expected to rise, by the year 2100, due to global warming between 0.18 and 0.59 cm. Such a rise in sea-level will significantly impact coastal areas due to the high concentration of natural and socioeconomic activities and assets located along the coast. The northern coastal zone of the Nile Delta is generally low land, and is consequently vulnerable to direct and indirect impacts of sea level rise (SLR) due to climate changes, particularly inundation. Despite the uncertainty associated with developed scenarios for climate change and expected SLR, there is a need, according to precautionary approach, to assess and analyze the impacts of SLR. Such an assessment, on one hand, can assist in formulating effective adaptation options to specific, sometimes localized, impacts of SLR. On the other hand, such an analysis can contribute significantly to the development of integrated approach to deal with the impacts of SLR. The objective of this paper is to assess and spatially analyze the risks of expected sea level rise (SLR), in particular inundation, and its implications up to the year 2100 in Kafr El Sheikh Governorate, Egypt, using GIS techniques. For that purpose, a GIS was developed for the study area and then utilized to identify the spatial extent of those areas that would be vulnerable to inundation by SLR. Moreover, various land uses/land covers susceptible to such inundation were identified. Results indicate that more than 22.59 % and 24.50 % of the total area of Kafr El Sheikh Governorate would be vulnerable to inundation under B1 and A1FI (IPCC most optimistic and pessimistic scenarios), respectively. No significant difference was noticed between the two scenarios in terms of spatial extent of SLR impacts. It was also found that a significant proportion of these areas were found to be currently either undeveloped or wetlands. Moreover, it was found that about 90.13 % of the vulnerable areas are actually less exposed to the risks of SLR due to the existence of a number of man-made features, not intended as protection measures, e.g. International Coastal Highway, that can be used to limit the areas vulnerable to inundations by SLR. © Springer Science+Business Media Dordrecht 2013.","[TITLE] gis-based risk assessment for the nile delta coastal zone under different sea level rise scenarios case study: kafr el sheikh governorate, egypt [KEYWORDS] gis inundation sea level rise [ABSTRACT] sea level changes are caused by several natural phenomena, including mainly ocean thermal expansion, glacial melt from greenland and antarctica. it was estimated, in this respect, that global average sea level rose, during the 20th century, by at least 10 cm. this trend is expected to continue and most likely accelerated during the 21st century due to human-induced global warming. global average sea level is expected to rise, by the year 2100, due to global warming between 0.18 and 0.59 cm. such a rise in sea-level will significantly impact coastal areas due to the high concentration of natural and socioeconomic activities and assets located along the coast. the northern coastal zone of the nile delta is generally low land, and is consequently vulnerable to direct and indirect impacts of sea level rise (slr) due to climate changes, particularly inundation. despite the uncertainty associated with developed scenarios for climate change and expected slr, there is a need, according to precautionary approach, to assess and analyze the impacts of slr. such an assessment, on one hand, can assist in formulating effective adaptation options to specific, sometimes localized, impacts of slr. on the other hand, such an analysis can contribute significantly to the development of integrated approach to deal with the impacts of slr. the objective of this paper is to assess and spatially analyze the risks of expected sea level rise (slr), in particular inundation, and its implications up to the year 2100 in kafr el sheikh governorate, egypt, using gis techniques. for that purpose, a gis was developed for the study area and then utilized to identify the spatial extent of those areas that would be vulnerable to inundation by slr. moreover, various land uses/land covers susceptible to such inundation were identified. results indicate that more than 22.59 % and 24.50 % of the total area of kafr el sheikh governorate would be vulnerable to inundation under b1 and a1fi (ipcc most optimistic and pessimistic scenarios), respectively. no significant difference was noticed between the two scenarios in terms of spatial extent of slr impacts. it was also found that a significant proportion of these areas were found to be currently either undeveloped or wetlands. moreover, it was found that about 90.13 % of the vulnerable areas are actually less exposed to the risks of slr due to the existence of a number of man-made features, not intended as protection measures, e.g. international coastal highway, that can be used to limit the areas vulnerable to inundations by slr. © springer science+business media dordrecht 2013."
84978997581,1,Ritual well-being: toward a social signaling model of religion and mental health,Costly signaling religion and mental health religion and self-control ritual self-control social signaling strength model subjective well-being,"Religion is positively correlated with subjective well-being across a variety of contexts, but convincing causal models are lacking. Some researchers have suggested that religion may boost self-control, and thus well-being, by requiring effortful rituals. This article proposes that costly signaling theory provides a vital explanatory tool for understanding these relationships. Signaling theories posit that religious adherents signal their commitment to religious collectives through difficult or anhedonic activities and rituals, creating a cost barrier for entry which protects religious communities against free riders. Because costly signaling behaviors require the inhibition of prepotent responses and intentional exposure to aversive stimuli, committed adherents build self-control over time. Subjective well-being is thus modeled as a longitudinal product of subjective investment in a religious social collective and the self-regulation abilities that emerge from signaling that investment. This emphasis on a feedback cycle driven by social signaling represents a novel contribution to investigations of religion and well-being. New longitudinal research in social investment theory and self-control lends the model conceptual credibility.","[TITLE] ritual well-being: toward a social signaling model of religion and mental health [KEYWORDS] costly signaling religion and mental health religion and self-control ritual self-control social signaling strength model subjective well-being [ABSTRACT] religion is positively correlated with subjective well-being across a variety of contexts, but convincing causal models are lacking. some researchers have suggested that religion may boost self-control, and thus well-being, by requiring effortful rituals. this article proposes that costly signaling theory provides a vital explanatory tool for understanding these relationships. signaling theories posit that religious adherents signal their commitment to religious collectives through difficult or anhedonic activities and rituals, creating a cost barrier for entry which protects religious communities against free riders. because costly signaling behaviors require the inhibition of prepotent responses and intentional exposure to aversive stimuli, committed adherents build self-control over time. subjective well-being is thus modeled as a longitudinal product of subjective investment in a religious social collective and the self-regulation abilities that emerge from signaling that investment. this emphasis on a feedback cycle driven by social signaling represents a novel contribution to investigations of religion and well-being. new longitudinal research in social investment theory and self-control lends the model conceptual credibility."
61949197853,8,Calculation method of eco-environmental water demand of urban lake with an example of Dongchang lake in Liaocheng city of China,Dongchang lake Eco-environmental water demand Environmental hydraulics Threshold study Urban lake Water quantity and water quality coupling study,"Quantity and quality are inseparable properties of water resources. Eco-environ mental water demand of urban lake should be with certain quality which is necessary for urban lake to develop its normal functions. The calculation of eco-environmental water demand of Dongchang lake is given as an example. Combining with its function demands, the eco-environmental water demand of Dongchange lake is divided into four parts: water demand of eco-environment improvement, background water demand, landscape water demand of greenbelt and entertainment water demand of lake littoral zone. Its spatial and temporal properties are considered. The caculation method combining with coupling study of water quantity and water quality, the threshold study are discussed. The caculation result of multi annual mean of water demands is that optimal value is 2922.9 × 104 m3; moderate value is 2334.7 × 104 m3; minimal value is 1746.4 × 104 m3. Water demand for eco-environment improvement and background water demand for water body occupate most of the whole water demand. The calculation result can produce the foundation for potecting eco-environment and promoting sustainable development of Dongchang Lake.","[TITLE] calculation method of eco-environmental water demand of urban lake with an example of dongchang lake in liaocheng city of china [KEYWORDS] dongchang lake eco-environmental water demand environmental hydraulics threshold study urban lake water quantity and water quality coupling study [ABSTRACT] quantity and quality are inseparable properties of water resources. eco-environ mental water demand of urban lake should be with certain quality which is necessary for urban lake to develop its normal functions. the calculation of eco-environmental water demand of dongchang lake is given as an example. combining with its function demands, the eco-environmental water demand of dongchange lake is divided into four parts: water demand of eco-environment improvement, background water demand, landscape water demand of greenbelt and entertainment water demand of lake littoral zone. its spatial and temporal properties are considered. the caculation method combining with coupling study of water quantity and water quality, the threshold study are discussed. the caculation result of multi annual mean of water demands is that optimal value is 2922.9 × 104 m3; moderate value is 2334.7 × 104 m3; minimal value is 1746.4 × 104 m3. water demand for eco-environment improvement and background water demand for water body occupate most of the whole water demand. the calculation result can produce the foundation for potecting eco-environment and promoting sustainable development of dongchang lake."
84866626961,8,Labour market and human resources development: An analysis of findings from the Albania survey of human resources development,Challenges Employment Enterprises Human resources development Labour market,"The Human Resources Development Survey (HRDS), which was carried out in the region of Korca (Albania), documented changes of the labour market demand and the occupational distribution of employees. This paper, based on the findings of the HRDS, reveals the broad trends in labour market developments at the enterprise level, current human resource development (HRD) practices and needs within enterprises, and suggests areas in which allocating resources to HRD would be most effective. The main findings in relation to four major questions are presented. The paper concludes with a summary of the findings in relation with the challenges of HRD.","[TITLE] labour market and human resources development: an analysis of findings from the albania survey of human resources development [KEYWORDS] challenges employment enterprises human resources development labour market [ABSTRACT] the human resources development survey (hrds), which was carried out in the region of korca (albania), documented changes of the labour market demand and the occupational distribution of employees. this paper, based on the findings of the hrds, reveals the broad trends in labour market developments at the enterprise level, current human resource development (hrd) practices and needs within enterprises, and suggests areas in which allocating resources to hrd would be most effective. the main findings in relation to four major questions are presented. the paper concludes with a summary of the findings in relation with the challenges of hrd."
85072723300,13,Spinel oxides as coke-resistant supports for NiO-based oxygen carriers in chemical looping combustion of methane,Carbon capture Chemical looping Coke inhibition Methane Nickel oxide Spinel oxides,"Due to their high activity for methane conversion under a cyclic redox scheme, supported nickel oxides are among the most extensively investigated oxygen carrier materials for chemical looping combustion (CLC) and reforming (CLR) of methane. However, coke formation remains as a key challenge for Ni-containing oxygen carriers. The current study investigates the effect of reducible, spinel-structured supports to enhance coke resistance of NiO-based oxygen carriers. It was hypothesized that reducible supports capable of continued yet slow lattice oxygen donation in the presence of methane can actively retard coke formation on the surface of the oxygen carriers. To evaluate such effects, NiFe2O4, MgFe2O4, and BaFe2O4 are investigated as coke-resistant, reducible supports for NiO using mass spectrometry (MS) and thermogravimetric analysis (TGA) during chemical looping cycles. All three reducible supports were capable of continuous oxygen donation over an extended period of time (>40 min) without signs of coke formation. When used as supports for NiO, the resulting oxygen carriers showed no sign of carbon deposition under typical methane CLC environments. In comparison, NiO supported on inert MgAl2O4 exhibited significant coke formation after only 2.5 min. Moreover, NiO supported on NiFe2O4 and BaFe2O4 exhibited faster redox activity and higher oxygen carrying capacity when compared to the inert MgAl2O4-supported NiO. Detailed investigation of the reduction behavior of NiFe2O4-supported NiO revealed extensive solid-state reactions and Ni/Fe exchanges among the support, NiO, and newly formed phases. Specifically, initial weight loss in NiFe2O4-supported NiO was associated with reduction of the oxygen carrier to metallic Ni and Fe3O4 phases. Subsequent coke inhibition was attributed to the slow reduction of Fe3O4 and FeO phases. Multi-cyclic redox studies indicated that NiFe2O4-supported NiO gradually lost its redox activity. In comparison, both MgFe2O4- and BaFe2O4-supported NiO exhibited satisfactory redox stability, activity, and coke resistance.","[TITLE] spinel oxides as coke-resistant supports for nio-based oxygen carriers in chemical looping combustion of methane [KEYWORDS] carbon capture chemical looping coke inhibition methane nickel oxide spinel oxides [ABSTRACT] due to their high activity for methane conversion under a cyclic redox scheme, supported nickel oxides are among the most extensively investigated oxygen carrier materials for chemical looping combustion (clc) and reforming (clr) of methane. however, coke formation remains as a key challenge for ni-containing oxygen carriers. the current study investigates the effect of reducible, spinel-structured supports to enhance coke resistance of nio-based oxygen carriers. it was hypothesized that reducible supports capable of continued yet slow lattice oxygen donation in the presence of methane can actively retard coke formation on the surface of the oxygen carriers. to evaluate such effects, nife2o4, mgfe2o4, and bafe2o4 are investigated as coke-resistant, reducible supports for nio using mass spectrometry (ms) and thermogravimetric analysis (tga) during chemical looping cycles. all three reducible supports were capable of continuous oxygen donation over an extended period of time (>40 min) without signs of coke formation. when used as supports for nio, the resulting oxygen carriers showed no sign of carbon deposition under typical methane clc environments. in comparison, nio supported on inert mgal2o4 exhibited significant coke formation after only 2.5 min. moreover, nio supported on nife2o4 and bafe2o4 exhibited faster redox activity and higher oxygen carrying capacity when compared to the inert mgal2o4-supported nio. detailed investigation of the reduction behavior of nife2o4-supported nio revealed extensive solid-state reactions and ni/fe exchanges among the support, nio, and newly formed phases. specifically, initial weight loss in nife2o4-supported nio was associated with reduction of the oxygen carrier to metallic ni and fe3o4 phases. subsequent coke inhibition was attributed to the slow reduction of fe3o4 and feo phases. multi-cyclic redox studies indicated that nife2o4-supported nio gradually lost its redox activity. in comparison, both mgfe2o4- and bafe2o4-supported nio exhibited satisfactory redox stability, activity, and coke resistance."
85056146918,1,"Obesity, equity and choice",distributive justice paternalism political philosophy public health ethics,"Obesity is often considered a public health crisis in rich countries that might be alleviated by preventive regulations such as a sugar tax or limiting the density of fast food outlets. This paper evaluates these regulations from the point of view of equity. Obesity is in many countries correlated with socioeconomic status and some believe that preventive regulations would reduce inequity. The puzzle is this: how could policies that reduce the options of the badly off be more equitable? Suppose we distinguish: (1) the badly off have poor options from (2) the badly off are poor at choosing between their options (ie, have a choosing problem). If obesity is due to a poverty of options, it would be perverse to reduce them further. Some people in public health say that preventive regulations do not reduce options but, I shall argue, they are largely wrong. So the equity case for regulations depends on the worst off having a choosing problem. It also depends on their having a choosing problem that makes their choices against their interests. Perhaps they do. I ask, briefly, what the evidence has to say about whether the badly off choose against their interests. The evidence is thin but implies that introducing preventive regulations for the sake of equity would be at least premature.","[TITLE] obesity, equity and choice [KEYWORDS] distributive justice paternalism political philosophy public health ethics [ABSTRACT] obesity is often considered a public health crisis in rich countries that might be alleviated by preventive regulations such as a sugar tax or limiting the density of fast food outlets. this paper evaluates these regulations from the point of view of equity. obesity is in many countries correlated with socioeconomic status and some believe that preventive regulations would reduce inequity. the puzzle is this: how could policies that reduce the options of the badly off be more equitable? suppose we distinguish: (1) the badly off have poor options from (2) the badly off are poor at choosing between their options (ie, have a choosing problem). if obesity is due to a poverty of options, it would be perverse to reduce them further. some people in public health say that preventive regulations do not reduce options but, i shall argue, they are largely wrong. so the equity case for regulations depends on the worst off having a choosing problem. it also depends on their having a choosing problem that makes their choices against their interests. perhaps they do. i ask, briefly, what the evidence has to say about whether the badly off choose against their interests. the evidence is thin but implies that introducing preventive regulations for the sake of equity would be at least premature."
27644551540,1,Changing livelihoods and land reform: Evidence from the Northern Cape province of South Africa,Africa Livelihoods Lland reform Poverty reduction South Africa,This paper examines the changing livelihoods of eight beneficiary groups situated in the Northern Cape province of South Africa who have accessed land through the government's land reform program. It assesses how successfully households with different levels of wealth have integrated agriculture into their livelihoods as well as exploring what other factors have changed livelihoods. The research shows that the low levels of technical support and the high levels of risk associated with agriculture in the province limit the ability of land reform to act as an effective poverty reduction policy and that without considerable restructuring the program is unlikely to meet its objectives. © 2005 Elsevier Ltd. All rights reserved.,[TITLE] changing livelihoods and land reform: evidence from the northern cape province of south africa [KEYWORDS] africa livelihoods lland reform poverty reduction south africa [ABSTRACT] this paper examines the changing livelihoods of eight beneficiary groups situated in the northern cape province of south africa who have accessed land through the government's land reform program. it assesses how successfully households with different levels of wealth have integrated agriculture into their livelihoods as well as exploring what other factors have changed livelihoods. the research shows that the low levels of technical support and the high levels of risk associated with agriculture in the province limit the ability of land reform to act as an effective poverty reduction policy and that without considerable restructuring the program is unlikely to meet its objectives. © 2005 elsevier ltd. all rights reserved.
78650757239,7,CdSe quantum dots sensitized mesoporous TiO2 solar cells with CuSCN as solid-state electrolyte,missing,"Mesoporous TiO2 is functionalized by 3-mercaptopropyl trimethyoxysilane (MPTMS) to anchor CdSe quantum dots (QDs). The resulting TiO2/CdSe is combined with solid-state electrolyte (CuSCN) to form solar cells. It is found that the efficiency of electron injection from QDs to TiO2 can be improved owing to the substitution of the long chains of organic capping agents at the surface of QDs with MPTMS. The hydrolyzate of MPTMS forms an insulating barrier layer to reduce the recombination at the TiO2/CdSe interface, leading to the increase of open-circuit voltage (Voc). Copyright © 2011 Guanbi Chen et al.","[TITLE] cdse quantum dots sensitized mesoporous tio2 solar cells with cuscn as solid-state electrolyte [KEYWORDS] missing [ABSTRACT] mesoporous tio2 is functionalized by 3-mercaptopropyl trimethyoxysilane (mptms) to anchor cdse quantum dots (qds). the resulting tio2/cdse is combined with solid-state electrolyte (cuscn) to form solar cells. it is found that the efficiency of electron injection from qds to tio2 can be improved owing to the substitution of the long chains of organic capping agents at the surface of qds with mptms. the hydrolyzate of mptms forms an insulating barrier layer to reduce the recombination at the tio2/cdse interface, leading to the increase of open-circuit voltage (voc). copyright © 2011 guanbi chen et al."
84937189842,1,Sheltering on the margins: Social housing provision and the impact of restrictionism on Asylum seekers and refugees in the UK,missing,"The impact of increasingly restrictionist policies for asylum seekers and refugees is reviewed from the perspective of social housing provision. This paper examines the instruments used to enact these policy shifts. The consequences are explored in terms of the social exclusion and destitution created by disqualifying most asylum seekers from access to local authority housing, by disentitlement to housing and welfare benefits and by fragmenting service delivery. The pragmatic restructuring of housing provision is then examined. The role of housing associations, who are increasingly significant providers for this client group, is reviewed. Financial and legal constraints to action have resulted in pragmatic responses, a generally poor quality of service provision, inadequate access procedures, lack of co-ordination and networking, and limited institutional capacity. The paper explores these flaws in the current framework of provision and the ways in which practice can be improved to overcome them. However, it is concluded that the 1999 Asylum and Immigration Act, implementing the government's comprehensive review of asylum policy, is likely to compound poor service delivery and social exclusion, whilst failing to achieve the main objective of restrictionism and deterrence. © 1999, Taylor & Francis Group, LLC.","[TITLE] sheltering on the margins: social housing provision and the impact of restrictionism on asylum seekers and refugees in the uk [KEYWORDS] missing [ABSTRACT] the impact of increasingly restrictionist policies for asylum seekers and refugees is reviewed from the perspective of social housing provision. this paper examines the instruments used to enact these policy shifts. the consequences are explored in terms of the social exclusion and destitution created by disqualifying most asylum seekers from access to local authority housing, by disentitlement to housing and welfare benefits and by fragmenting service delivery. the pragmatic restructuring of housing provision is then examined. the role of housing associations, who are increasingly significant providers for this client group, is reviewed. financial and legal constraints to action have resulted in pragmatic responses, a generally poor quality of service provision, inadequate access procedures, lack of co-ordination and networking, and limited institutional capacity. the paper explores these flaws in the current framework of provision and the ways in which practice can be improved to overcome them. however, it is concluded that the 1999 asylum and immigration act, implementing the government's comprehensive review of asylum policy, is likely to compound poor service delivery and social exclusion, whilst failing to achieve the main objective of restrictionism and deterrence. © 1999, taylor & francis group, llc."
85031718346,13,"The economic impact of agricultural pollutions in Iran, spatial distance function approach",Agricultural pollutions CO2 emission Spatial distance function Water salinity,"Pollution has increased in Iran in the last two decades due to agricultural activities. Pollutions are released into the atmosphere and thereafter pollute water and soil resources. Therefore, it is important to develop models that can estimate the economic value of these Pollutions. For this purpose, a Spatial Output Distance Function was used in the present study to estimate the shadow price of carbon dioxide emission and water salinity in spatial and temporal dimensions. This method can be used as a new method to estimate the value of externalities. In this study, the data of provinces in Iran during 1995–2014 were used. The results showed that the total shadow price of agricultural Pollutions was equal to 42.54 dollars per unit. In addition, the effects due to the adjacency of regions to each other led to the transfer of pollution and its externalities were equal to 26.3 dollars per unit of pollution. This finding refers to the importance of considering the spatial dimension when analyzing the shadow price of pollutions caused by production. Thus, internalizing the damage caused by pollutions based on the adjacency of regions to each other can increase the efficiency of the production environment.","[TITLE] the economic impact of agricultural pollutions in iran, spatial distance function approach [KEYWORDS] agricultural pollutions co2 emission spatial distance function water salinity [ABSTRACT] pollution has increased in iran in the last two decades due to agricultural activities. pollutions are released into the atmosphere and thereafter pollute water and soil resources. therefore, it is important to develop models that can estimate the economic value of these pollutions. for this purpose, a spatial output distance function was used in the present study to estimate the shadow price of carbon dioxide emission and water salinity in spatial and temporal dimensions. this method can be used as a new method to estimate the value of externalities. in this study, the data of provinces in iran during 1995–2014 were used. the results showed that the total shadow price of agricultural pollutions was equal to 42.54 dollars per unit. in addition, the effects due to the adjacency of regions to each other led to the transfer of pollution and its externalities were equal to 26.3 dollars per unit of pollution. this finding refers to the importance of considering the spatial dimension when analyzing the shadow price of pollutions caused by production. thus, internalizing the damage caused by pollutions based on the adjacency of regions to each other can increase the efficiency of the production environment."
